ID,Приоритет,Модуль,Название,Предусловия,Тестовые данные,Шаги,Ожидаемый результат,Комментарий
T-11,High,Форма авторизации,Отображение пароля,"1. Открыт сайт;
2. Открыта форма авторизации 
пользователя;
3. Введены данные в поле ""Пароль"".","1. Кнопка ""Глаз"".","1. Нажать на кнопку ""Глаз"".","Точки, скрывающие данные меняются на текст, который является вводимым паролем.",
Нефункциональные проверки								,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,
T-1,High,Форма авторизации,Tекстовая подсказка (Placeholder) для пользователя в поле для ввода данных ,"1. Открыт сайт;
2. Открыта форма авторизации пользователя.","1. Поле - ""Логин"";
2. Поле - ""Пароль"";",1. Проверить есть ли текстовые подсказки в полях ввода данных.,"Первое поле ввода данных содержит подсказку ""Логин"", второе поле содержит подсказку ""Пароль"".",
,,,,,,,,
,,,,,,,,
T-2,High,Форма авторизации,Текстовая подсказка при вводе данных,"1. Открыт сайт ;
2. Открыта форма авторизации 
пользователя.","1. Поле ""Логин"" - denis12323; 
2. Поле ""Пароль"" - qwerty12345.","1. Ввести значение из тестовых данных в поле ""Логин"";",Подсказки исчезают при вводе данных.,
,,,,,,"2. Ввести значение из тестовых данных в поле ""Пароль"";",,
,,,,,,,,
T-3,High,Форма авторизации,"Наличие иконки ""глаз"" в поле ""Пароль""","1. Открыт сайт;
2. Открыта форма авторизации 
пользователя.",,"1. Обратить внимание на поле ""Пароль"".","Присутствует иконка ""глаз"" в поле ""Пароль"".",
,,,,,,,,
,,,,,,,,
T-4,High,Форма авторизации,"Наличие подсказки ""Показать пароль""","1. Открыт сайт;
2. Открыта форма авторизации 
пользователя;
3. Введены данные в поле ""Пароль"".","1. Кнопка ""Глаз"".","1. Навести курсор мышки на кнопку""Глаз"".","Отобраэается подсказка ""Показать пароль"".",
Тестирование безопасности,,,,,,,,
T-1,Medium,Форма авторизации,"Уведомление о блокировке аккаунта после 
5 попыток ввода невалидного пароля","1. Открыт сайт;
2. Открыта форма авторизации пользователя.","1. Поле ""Логин"" - denis12323;
2. Поле ""Пароль"" - qazwsxedc.",1. Ввести невалидный пароль 5 раз подряд.,"Отображается окно с уведомлением: ""Аккаунт заблокирован, пожалуйста, попробуйте через 1 час"". ",
,,,,,,,,
T-2,Medium,Форма авторизации,"Бокировка аккаунта после 
5 попыток ввода невалидного пароля","1. Открыт сайт;
2. Открыта форма авторизации пользователя;
3. Введен невалидный пароль 
5 раз подряд.","1. Поле ""Логин"" - denis12323;
2. Поле ""Пароль"" - qwerty12345.",1. Ввести валидные данные.,"Отображается окно с уведомлением: ""Аккаунт заблокирован, пожалуйста, попробуйте через 1 час"". ",
Тестирование совместимости,,,,,,,,
T-1,High,Форма авторизации,"Проверка формы авторизации 
в разных браузерах",1. Стартовые страницы браузеров.,"1. Браузер Mozilla Firefox;
2. Браузер Opera;
3. Браузер Microsoft Edge; 
4. Google Chrome;
5. Яндекс браузер;
5. Safari.",1. Открыть сайт с формой авторизации в разных браузерах.,"Сайт открывается, форма авторизации отображается во всех браузерах одиноково.",
T-2,High,Форма авторизации,"Открытие формы авторизации 
на разных операционных системах",,"1. ОС;
2. Windows;
3. Linux;
4. IOS:
5. Android.",1. Открыть сайт с формой авторизации на разных операционных системах.,"Сайт открывается, форма авторизации отображается на всех системах одиноково.",
Тестирование удобства использования ,,,,,,,,
T-1,Medium,Форма авторизации,Использование виртуальной клавиатуры,"1. Открыт сайт;
2. Открыта форма авторизации пользователя;
3. Вызвана виртуальная клавиатура Windows 11.","1. Windows 11 Домашняя для одного языка, версия        10.0.22631, сборка 22631;
2. Виртуальная клавиатура Wimdows 11.","1. Ввести рандомное значениев поле ""Логин"" с помощью виртуальной клавиатуры;
2. Ввести рандомное значение в поле ""Пароль"" с помощью виртуальной клавиатуры.",Данные вводятся корректно в указанные поля.,
Тестирование локализации,,,,,,,,
T-1,Medium,Форма авторизации,Язык перевода на форме авторизации по умолчанию в соответствии с определенными региональными настройками,,1. Локация: Россия.,1. Открыть сайт.,Информация на сайте отображается в соответсвии с регионом на русском языке. ,
